13:02:17:059 [ALWAYS]	GUDE Logging Started
13:02:17:061 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
13:02:17:061 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
13:02:17:061 [ERROR]	Initialize resume cache pointer failure
13:02:17:061 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
13:02:17:061 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
13:02:22:793 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
13:02:22:793 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
13:02:22:793 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
13:02:22:794 [ERROR]	Initialize resume cache pointer failure
13:02:22:794 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
13:02:22:794 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
